Phase,Week,Date,Platform,Content Type,Post / Idea
PHASE 1: THE ORIGIN,Week 2,Mar 2,Twitter/X,Text + screen recording,"One feature I'm proud of: voice logging. You literally say 'I had two eggs, toast with butter, and a cup of coffee' and the AI breaks down every calorie and macro. No scrolling. No searching. Just talk."
PHASE 1: THE ORIGIN,Week 2,Mar 3,Twitter/X,Text,"Controversial opinion: MyFitnessPal has 200 million users and still thinks 'biryani' is one food. There are 15+ types of biryani. Hyderabadi biryani has different calories than Lucknowi. This is the problem I'm solving."
PHASE 1: THE ORIGIN,Week 2,Mar 4,Twitter/X,Text,"Actual conversation with my AI calorie tracker: Me: 'half a plate of lamb ouzi with yogurt on the side' AI: 680 cal, 42g protein, 38g fat, 45g carbs. Try doing that with a barcode scanner."
PHASE 1: THE ORIGIN,Week 2,Mar 5,Twitter/X,Text,"Today I built local food caching — when you log a meal, TrackKcal remembers it. So next time you type 'my usual breakfast,' it loads in 1.2 seconds instead of calling the AI. Small wins. #buildinpublic"
PHASE 1: THE ORIGIN,Week 2,Mar 6,Twitter/X,Text,"What I wish someone told me before building an app: 1. The coding is 30% of the work 2. App Store screenshots take longer than you think 3. Marketing starts before you launch 4. You will rewrite the same feature 3 times 5. Coffee is a business expense"
PHASE 1: THE ORIGIN,Week 2,Mar 7,Twitter/X,Text + screenshot,"Sneak peek at the TrackKcal dashboard — daily calories, protein, carbs, fat, all tracked with one text or voice input. No barcode needed. Launching soon."
PHASE 1: THE ORIGIN,Week 2,Mar 1,TikTok,Video,"'Calorie reveal: Al Baik' — 'Let's see how many calories are in an Al Baik meal.' Type 'Al Baik 4-piece chicken meal with garlic sauce and fries' → show breakdown. People will share this."
PHASE 1: THE ORIGIN,Week 2,Mar 3,TikTok,Video,"'Voice logging demo' — Record yourself saying 'I had a chicken shawarma wrap, hummus, and a Pepsi' → show the app processing → calorie result. Satisfying to watch."
PHASE 1: THE ORIGIN,Week 2,Mar 5,TikTok,Video,"'I quit [my situation] to build an app' — Quick storytelling: what you were doing before, the frustration, the decision, show the app. Hook: 'I couldn't find a single calorie tracker that understood my food.'"
PHASE 1: THE ORIGIN,Week 2,Mar 7,TikTok,Video,"'How many calories in a Dubai brunch?' — Estimate a typical Dubai Friday brunch plate: eggs benedict, salmon, pastries, juice. Type it all in, reveal the damage. Relatable + shocking number = views."
PHASE 1: THE ORIGIN,Week 2,Mar 1,Instagram,Reel,Cross-post the Al Baik calorie reveal from TikTok
PHASE 1: THE ORIGIN,Week 2,Mar 3,Instagram,Static post,"Clean screenshot of the app dashboard with caption: 'This is TrackKcal. Type any meal → instant calorie breakdown. No scanning. No searching. Just AI that understands your food. Launching soon — link in bio for the waitlist.'"
PHASE 1: THE ORIGIN,Week 2,Mar 5,Instagram,Reel,Cross-post voice logging demo from TikTok
PHASE 1: THE ORIGIN,Week 2,Mar 7,Instagram,Story,"'This or That' series — 'Which has more calories?' Shawarma vs Falafel wrap. Let people guess, reveal with the app."
PHASE 1: THE ORIGIN,Week 2,Mar 3,LinkedIn,Text,"Most calorie tracking apps are built on the USDA food database — a dataset of American foods. If you type 'machboos' into MyFitnessPal, you'll get wildly inaccurate results (if any). This is the core problem TrackKcal solves. We use AI to understand food descriptions in context — cuisine, portion sizes, cooking methods. It's a fundamentally different approach."
PHASE 1: THE ORIGIN,Week 2,Mar 6,LinkedIn,Text,"Week 2 of building in public. Honest numbers: [X] waitlist signups, [X] social media followers, $0 revenue. What I've learned: consistency beats virality. Every single person who signs up for the waitlist is someone who believes in what you're building before it even exists. That's powerful."
PHASE 1: THE ORIGIN,Week 2,Mar 4,Medium,Article,"'How I Built an AI Food Analyzer Using GPT-4o-mini and React Native' — Technical article. Walk through: how the AI prompt works, how you handle ambiguous food descriptions, accuracy challenges, local food caching. Great for dev community + IndieHackers cross-post."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 8,Twitter/X,Thread,"The actual calories in 10 popular UAE meals (verified with AI): 1. Chicken Shawarma wrap: 480 cal 2. Lamb Machboos: 720 cal 3. Karak Tea (sweet): 180 cal 4. Manoushe zaatar: 350 cal 5. Falafel sandwich: 520 cal [continue with 5 more]"
PHASE 2: BUILD MOMENTUM,Week 3,Mar 9,Twitter/X,Text,"Someone asked me 'why not just use ChatGPT to count calories?' Three reasons: 1. ChatGPT doesn't remember your daily totals 2. It can't track your macros over time 3. It has no idea what you ate yesterday. TrackKcal does all three."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 10,Twitter/X,Text,"Bug fix diary: spent 2 hours debugging why voice logging wasn't working on Android. The fix? One missing permission in the manifest. Two hours for one line. This is app development. #buildinpublic"
PHASE 2: BUILD MOMENTUM,Week 3,Mar 11,Twitter/X,Poll,"Quick poll: would you pay AED 7.50/month (~$2) for unlimited AI calorie tracking with voice input, macro tracking, weight trends, and an AI nutrition coach? That's less than a karak tea."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 12,Twitter/X,Text + screenshot,"Here's what the TrackKcal AI coach looks like. You ask it anything about your nutrition and it gives you personalized advice based on YOUR actual food log. Not generic 'eat more vegetables' advice."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 13,Twitter/X,Text,"App Store screenshot design tip nobody tells you: use REAL food from YOUR target market in the screenshots. I'm using shawarma, machboos, and karak tea — not stock photos of avocado toast. Know your audience. #indiehacker"
PHASE 2: BUILD MOMENTUM,Week 3,Mar 14,Twitter/X,Text,"Two weeks of building in public. My DMs are starting to fill up with 'when does this launch?' Best feeling as a founder. Soon. Very soon."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 8,TikTok,Video,"'Calorie reveal: your favorite coffee order' — Starbucks/Tim Hortons UAE order. 'Iced caramel macchiato grande with oat milk' → type it → 350 cal. 'Your just a coffee is a meal.'"
PHASE 2: BUILD MOMENTUM,Week 3,Mar 10,TikTok,Video,"'I built an AI that roasts your diet' — Show the AI coach feature giving honest feedback on a day of eating. Funny + useful."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 12,TikTok,Video,"'How many calories did I eat today?' — Film your whole day of eating (quick cuts of each meal), log each one in the app in real-time, show the total at end of day."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 14,TikTok,Video,"'The #1 reason calorie trackers fail' — Face to camera: 'It's not motivation. It's that logging takes too long. What if it took 3 seconds?' → Demo the app."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 9,Instagram,Carousel,"'UAE Meal Calorie Guide' — 8 slides, each with a popular UAE meal and its calorie count. Branded with TrackKcal logo. Saveable + shareable content."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 11,Instagram,Reel,Cross-post 'calories in your coffee order' from TikTok
PHASE 2: BUILD MOMENTUM,Week 3,Mar 13,Instagram,Story series,"'Ask Me Anything' about the app — use question sticker, answer questions about features, launch date, pricing"
PHASE 2: BUILD MOMENTUM,Week 3,Mar 9,LinkedIn,Text,"I chose to build TrackKcal with React Native + Expo instead of going native. Here's why: one codebase, 90% code sharing between iOS and Android, faster iteration. For a solo founder, this was the right call. The 10% of platform-specific quirks I deal with is worth the 50% time saving."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 11,LinkedIn,Text,"The UAE health and wellness market is booming. But here's what I've noticed: most apps in this space are imports — built in Silicon Valley, adapted for the region as an afterthought. There's an opportunity to build products that are local-first, not local-adapted."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 13,LinkedIn,Text,"Founder lesson: I spent a week perfecting a feature nobody asked for. Then I showed a 30-second voice logging demo on TikTok and got more engagement than anything else. Build what excites people, not what excites your inner engineer."
PHASE 2: BUILD MOMENTUM,Week 3,Mar 11,Medium,Article,"'The Real Calories in 20 Popular UAE Meals — An AI-Verified Guide' — List-style article. Each meal with calorie count, macro breakdown, and a tip. SEO gold for searches like 'shawarma calories' and 'machboos nutrition.' Link to app waitlist at the bottom."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 15,Twitter/X,Text,"Milestone: [X] people on the TrackKcal waitlist. Every single one of you is going to get early access before anyone else. Thank you for believing in this before it's even out. #buildinpublic"
PHASE 2: BUILD MOMENTUM,Week 4,Mar 16,Twitter/X,Text + screenshot,"Feature I almost cut but kept: weight tracking with trend lines. It shows you whether you're actually losing/gaining over time, not just day-to-day fluctuations. The graph is simple but the insight is everything."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 17,Twitter/X,Text,"I just submitted TrackKcal to the App Store for review. Now we wait. The most nerve-wracking part of the entire journey. Will update when I hear back. #buildinpublic"
PHASE 2: BUILD MOMENTUM,Week 4,Mar 18,Twitter/X,Text,"The AI behind TrackKcal doesn't just count calories — it understands context. 'A large plate of rice' vs 'a small bowl of rice.' 'Fried chicken' vs 'grilled chicken.' Context matters when accuracy matters."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 19,Twitter/X,Text,"Rejected by the App Store. Reason: [whatever it is]. Fixing it now. This is part of the process. Every app you use went through this. #buildinpublic OR Approved on the first try! Launch day is [date]."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 20,Twitter/X,Text,"Things that cost AED 7.50 in Dubai: 1 karak tea, half a parking hour, 0.5 km in a taxi, OR an entire month of AI-powered calorie tracking with unlimited meal logging, macro tracking, weight trends, and a personal nutrition coach."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 21,Twitter/X,Text,"TrackKcal launches in [X] days. First 100 people get 1 month of Premium free. Link in bio to join the waitlist and be first."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 15,TikTok,Video,"'Calorie reveal: full day of eating in Dubai' — Film breakfast (eggs + toast), lunch (shawarma), dinner (grilled chicken + rice), snacks. Log everything. Show daily total. Relatable daily content."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 17,TikTok,Video,"'I just submitted my app to the App Store' — Emotional/real moment. Show the submission screen. Talk about the journey. 'Months of work, one submit button.'"
PHASE 2: BUILD MOMENTUM,Week 4,Mar 19,TikTok,Video,"'Rating my friends' meals by calories' — Get 3-4 friends to show you what they ate today. Analyze each with the app. React to the numbers. Fun group content."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 21,TikTok,Video,"'TrackKcal launches in [X] days — here's everything it does' — 45 second full walkthrough: type a meal → AI analysis → daily dashboard → weight tracker → AI coach. Fast cuts, upbeat music."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 15,Instagram,Reel,Cross-post 'full day of eating in Dubai' from TikTok
PHASE 2: BUILD MOMENTUM,Week 4,Mar 17,Instagram,Static post,"Screenshot of App Store submission with caption about the journey. Raw, honest, emotional."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 19,Instagram,Reel,"'Rating my friends' meals by calories' (cross-post from TikTok)"
PHASE 2: BUILD MOMENTUM,Week 4,Mar 21,Instagram,Carousel,"'TrackKcal is launching soon — here's what you get' — Feature breakdown carousel. 6 slides, one feature per slide. Last slide: 'Join the waitlist. Link in bio.'"
PHASE 2: BUILD MOMENTUM,Week 4,Mar 17,LinkedIn,Text,"Today I submitted my first app to the App Store. It took [X] months of solo development, [X] cups of coffee, and one very persistent belief: that the UAE market deserves a nutrition app that actually understands its food. Whatever happens with the review — this has already been worth it."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 20,LinkedIn,Text,"Pricing lesson from building TrackKcal: I priced the premium tier at AED 7.50/month (annual). Not because of cost analysis or competitor benchmarking. Because I asked myself: 'Would I pay this?' And the answer was an easy yes. Sometimes the right price is the one that removes all friction for the user."
PHASE 2: BUILD MOMENTUM,Week 4,Mar 18,Medium,Article,"'What I Learned Submitting My First App to the App Store as a Solo Developer' — The whole process: Apple guidelines, screenshots, metadata, the review wait. Practical guide for other indie devs."
PHASE 3: LAUNCH WEEK,Week 5,Mar 22,Twitter/X,Text,"48 hours until TrackKcal goes live. Here's what's inside: AI calorie analysis from text or voice, macro tracking, weight trends with insights, AI nutrition coach, Apple Health sync. First 100 downloads get a free month of Premium."
PHASE 3: LAUNCH WEEK,Week 5,Mar 23,Twitter/X,Text,"Tomorrow. Can't sleep. TrackKcal launches tomorrow. I've been building this for months and I still can't believe it's actually happening. #buildinpublic"
PHASE 3: LAUNCH WEEK,Week 5,Mar 22,Instagram,Story,Countdown sticker: 'TrackKcal launches in 2 days!'
PHASE 3: LAUNCH WEEK,Week 5,Mar 23,Instagram,Story,"'Tomorrow!' with screenshot of the app ready on your phone"
PHASE 3: LAUNCH WEEK,Week 5,Mar 23,TikTok,Video,"'I'm launching my app tomorrow' — Raw, unedited, face to camera. Talk about how you feel. Authentic > polished."
PHASE 3: LAUNCH WEEK,Week 5,Mar 24,Twitter/X,Launch thread,"LAUNCH DAY — After [X] months of building in public, TrackKcal is LIVE. An AI-powered calorie tracker built for people who eat real food. Here's the journey and what you get: [10-tweet thread covering the story, features, and download link]"
PHASE 3: LAUNCH WEEK,Week 5,Mar 24,Instagram,Reel,"LAUNCH DAY — 60-second app walkthrough with upbeat music. Caption: 'TrackKcal is LIVE. AI-powered calorie tracking that actually understands your food. Link in bio.'"
PHASE 3: LAUNCH WEEK,Week 5,Mar 24,TikTok,Video,"LAUNCH DAY — 'My app just went live on the App Store' — Film the moment you see it go live. Show it on your phone. Demo one meal. 'Go download it, link in bio.'"
PHASE 3: LAUNCH WEEK,Week 5,Mar 24,LinkedIn,Long post,"LAUNCH DAY — 'Today I launched TrackKcal — an AI-powered nutrition tracking app built specifically for the Middle East market. Here's why I built it, what makes it different, and what I've learned building in public as a solo founder...' (300-400 words)"
PHASE 3: LAUNCH WEEK,Week 5,Mar 24,Medium,Article,"LAUNCH DAY — 'I Just Launched My First App — Here's Everything That Happened' — Real-time launch diary format. What you did, the numbers coming in, the emotions."
PHASE 3: LAUNCH WEEK,Week 5,Mar 24,Twitter/X,Text,LAUNCH DAY (afternoon) — '3 hours since launch: [X] downloads, [X] signups. This is real. Thank you to everyone who's been following this journey. #buildinpublic'
PHASE 3: LAUNCH WEEK,Week 5,Mar 24,Twitter/X,Text,"LAUNCH DAY (evening) — End of day stats: '[X] downloads, [X] Premium signups, [X] Product Hunt upvotes. Day 1 of the rest of the journey.'"
PHASE 3: LAUNCH WEEK,Week 5,Mar 25,Twitter/X,Text,"Day 2 post-launch. [X] total downloads. The reviews are starting to come in and I'm reading every single one. Here are my favorites so far..."
PHASE 3: LAUNCH WEEK,Week 5,Mar 25,TikTok,Video,"'I got my first app reviews' — Read them on camera. React to the good ones and the constructive ones. Genuine."
PHASE 3: LAUNCH WEEK,Week 5,Mar 26,Twitter/X,Text,"The most common feedback so far: '[specific feedback].' Already working on fixing/adding it. This is why building in public matters — your users tell you exactly what they need."
PHASE 3: LAUNCH WEEK,Week 5,Mar 26,Instagram,Carousel,"'Launch week by the numbers' — Day by day stats, screenshots of nice reviews, download milestones."
PHASE 3: LAUNCH WEEK,Week 5,Mar 27,Twitter/X,Text,"Feature request I'm seeing a lot: [X]. Already building it. When you launch fast, you learn fast. #buildinpublic"
PHASE 3: LAUNCH WEEK,Week 5,Mar 27,LinkedIn,Text,"One week after launching TrackKcal. Here are the honest numbers, what worked, what didn't, and what's next."
PHASE 3: LAUNCH WEEK,Week 5,Mar 28,Twitter/X,Text,"Week 1 recap: [X] downloads, [X] premium conversions, [X]% Day-7 retention. Breakdown of what drove the downloads: [organic/PH/social/referral split]."
PHASE 3: LAUNCH WEEK,Week 5,Mar 28,TikTok,Video,"'One week later — how my app launch actually went' — Honest recap. Numbers, surprises, what you'd do differently."
PHASE 4: POST-LAUNCH GROWTH,Week 6,Mar 29,Twitter/X,Text,"Day 6 since launch. Coolest thing so far: someone logged 'my mom's warak enab with yogurt sauce' and the AI nailed the calorie count. This is exactly why I built this — food is personal and cultural."
PHASE 4: POST-LAUNCH GROWTH,Week 6,Mar 30,Twitter/X,Text,"The referral system is working. [X]% of new users came from existing user referral codes this week. Word of mouth is the best marketing you can't buy."
PHASE 4: POST-LAUNCH GROWTH,Week 6,Mar 31,Twitter/X,Text,"Monthly cost to run TrackKcal at [X] users: Supabase: $[X], OpenAI API: $[X], Apple Dev: $30/mo amortized. Total: $[X]. Revenue: $[X]. Profit: -$[X]. We're getting closer. #buildinpublic"
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 1,Twitter/X,Text,"April update: Month 1 of TrackKcal. Here are the real numbers... [downloads, revenue, retention, best acquisition channel]"
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 2,Twitter/X,Text,"Shipped a new feature today: [specific feature based on user feedback]. Idea → code → production in 6 hours. Solo founder speed is a real advantage. #buildinpublic"
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 3,Twitter/X,Text,"The question I get asked most: 'How accurate is the AI?' Honest answer: within 10-15% of a professional nutritionist's estimate for most meals. For tracking purposes, that's more than enough. Perfect accuracy doesn't exist even with manual measurement."
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 4,Twitter/X,Text,"Saturday morning calorie reveal: full English breakfast. 2 eggs fried, 2 sausages, beans, toast with butter, hash brown, orange juice. Logged in TrackKcal: 920 calories. Your 'healthy weekend breakfast' might be your biggest meal. #caloriereveal"
PHASE 4: POST-LAUNCH GROWTH,Week 6,Mar 30,TikTok,Video,"'Rating restaurant meals by calories' — Go to a popular UAE restaurant. Film what you order. Log each dish. Reveal total. 'This dinner was [X] calories.'"
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 1,TikTok,Video,"'Month 1 of my app — real numbers' — Honest founder update. Downloads, revenue, what worked. Short and punchy."
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 3,TikTok,Video,"'I asked my AI to rate my diet for the week' — Show the AI coach giving your weekly assessment. Real feedback, real reactions."
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 4,TikTok,Video,"'How many calories in a Friday brunch?' — Dubai brunch = legendary. Estimate a typical plate, log it all. The total will shock people."
PHASE 4: POST-LAUNCH GROWTH,Week 6,Mar 30,Instagram,Reel,Cross-post restaurant calorie rating from TikTok
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 1,Instagram,Carousel,"'Month 1 — TrackKcal by the numbers' — 6 slides with key stats, lessons, and a 'download now' CTA"
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 3,Instagram,Story,User testimonial screenshots (ask beta testers/early users for quotes)
PHASE 4: POST-LAUNCH GROWTH,Week 6,Mar 31,LinkedIn,Text,"Month 1 transparency report: TrackKcal launched [X] days ago. Here are all the numbers — downloads, revenue, retention, costs. Full breakdown with learnings. (Detailed, data-driven post)"
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 3,LinkedIn,Text,"A user messaged me saying TrackKcal helped them understand why they weren't losing weight — they were underestimating their lunch calories by 300+ daily. That one message made the entire journey worth it."
PHASE 4: POST-LAUNCH GROWTH,Week 6,Apr 1,Medium,Article,"'Month 1 of My App: Real Numbers From a Solo Founder' — Transparent deep-dive. Downloads, revenue, DAU, retention, acquisition channels, costs, what surprised you. Indie hacker community loves this format."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 5,Twitter/X,Text,"New feature dropped: [X]. Shipped it because 12 users asked for it in the first 2 weeks. When your users speak, listen. #buildinpublic"
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 6,Twitter/X,Text,"Most underrated feature in TrackKcal: the weight trend line. It smooths out daily fluctuations and shows you the REAL direction. Weighed 81.2 yesterday and 81.8 today? Doesn't matter. The trend line says you're down 0.5kg this week."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 7,Twitter/X,Text,"Calorie tracking tip: you don't need to be perfect. Studies show that just the ACT of tracking — even if you're off by 15% — makes you eat better. Awareness is the tool. The app just makes it effortless."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 8,Twitter/X,Text,"Shoutout to @[someone who posted about TrackKcal]. This is what keeps me going. Every share, every mention, every review — I see all of them and they mean more than you know."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 9,Twitter/X,Text,"Working on something new: [tease upcoming feature]. Can't share too much yet but this is going to change how you think about meal planning. Stay tuned. #buildinpublic"
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 10,Twitter/X,Text,"Friday calorie reveal: the average iftar spread (dates, soup, samosa, main course, dessert) is roughly 1,400-1,800 calories. With Ramadan prep content starting soon, I'll be breaking down exactly how to track this."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 11,Twitter/X,Text,"Weekend build session: refactoring the AI prompt to be even more accurate with Middle Eastern cooking methods. 'Slow-cooked' vs 'pressure cooked' vs 'fried' changes calories significantly. Details matter. #buildinpublic"
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 5,TikTok,Video,"'Scan your meal, know the calories' — Quick demo of photo analysis feature. Take a photo of a plate, AI identifies and counts. The wow-factor feature."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 7,TikTok,Video,"'Your healthy lunch might not be healthy' — Log a typical 'healthy' lunch (grilled chicken salad with dressing, juice). Reveal it's 700+ cal. Eye-opener content."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 9,TikTok,Video,"'Things I've learned tracking my calories for 30 days' — Listicle format. Insights that surprised you. Short, punchy, educational."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 11,TikTok,Video,"'Ramadan is coming — here's how to track iftar and suhoor' — Teaser for Ramadan content. Show how easy it is to log traditional Ramadan meals."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 6,Instagram,Reel,"'Your healthy lunch exposed' (cross-post from TikTok)"
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 8,Instagram,Static post,"Beautiful app screenshot with 'TrackKcal — [X] downloads and growing. Download free today.' Social proof + CTA."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 10,Instagram,Story series,"'Ramadan prep' — teaser Stories about upcoming Ramadan calorie guides"
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 7,LinkedIn,Text,"What nobody tells you about solo founding: the hardest part isn't building the product. It's doing customer support, marketing, bug fixes, feature development, and finances simultaneously, every single day, alone. Here's how I'm managing it with TrackKcal..."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 10,LinkedIn,Text,"Ramadan is one of the biggest opportunities for health and fitness apps in the UAE. App sessions spike 50% during the holy month. Here's how I'm preparing TrackKcal for Ramadan — and what other founders can learn about timing your product to cultural moments."
PHASE 4: POST-LAUNCH GROWTH,Week 7,Apr 8,Medium,Article,"'Why I Chose Supabase Over Firebase for My React Native App' — Technical comparison from real experience. Query performance, auth, RLS, pricing. Dev community loves these battle-tested comparisons."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 12,Twitter/X,Text,"Referral challenge: the person who refers the most new users this month gets 3 months Premium free. Your referral code is in the app settings. Let's go."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 13,Twitter/X,Text,"I'm putting together a 'Ramadan Calorie Guide' — every traditional iftar and suhoor meal with full nutrition breakdown. Would you want this as a free PDF or an in-app feature?"
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 14,Twitter/X,Text,"Download milestone: TrackKcal just hit [X] total downloads. When I started building this, I wondered if anyone would even care. You did. Thank you. #buildinpublic"
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 15,Twitter/X,Text,"Hot take: if your calorie tracking app requires Wi-Fi to log a meal, it's broken. TrackKcal caches your recent meals locally so you can log even offline. Small detail, huge difference."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 16,Twitter/X,Text,"Suhoor meal ideas ranked by protein: 1. Greek yogurt + nuts: 28g protein 2. Eggs + cheese + bread: 25g protein 3. Oatmeal + protein powder: 32g protein 4. Labneh + foul: 22g protein. All verified with TrackKcal."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 17,Twitter/X,Text,"User feedback that hit hard: 'I've tried every app. This is the first one where I can type my meal in Arabic food terms and get real results.' This is the whole mission."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 18,Twitter/X,Text,"Pre-Ramadan weekend. Released the Ramadan Calorie Guide. Free for everyone. Link in bio. Let's make this the healthiest Ramadan yet."
